1,0,0.000000,-70.710974,70.710974,0.000000,-1.224745,1.224745
2,250,6.406185,-73.696088,67.289903,0.110958,-1.276448,1.165490
3,500,12.772874,-76.226842,63.453968,0.221232,-1.320282,1.099050
4,750,19.060814,-78.287631,59.226817,0.330142,-1.355976,1.025834
5,1000,25.231238,-79.865752,54.634514,0.437016,-1.383310,0.946294
6,1250,31.246102,-80.951473,49.705371,0.541196,-1.402115,0.860919
7,1500,37.068324,-81.538102,44.469777,0.642040,-1.412275,0.770236
8,1750,42.662008,-81.622021,38.960013,0.738925,-1.413729,0.674804
9,2000,47.992666,-81.202713,33.210047,0.831254,-1.406466,0.575212
10,2250,53.027433,-80.282763,27.255330,0.918458,-1.390532,0.472074
11,2500,57.735269,-78.867844,21.132575,1.000000,-1.366025,0.366025
12,2750,62.087147,-76.966678,14.879531,1.075376,-1.333096,0.257720
13,3000,66.056238,-74.590987,8.534749,1.144123,-1.291948,0.147826
14,3250,69.618069,-71.755417,2.137348,1.205815,-1.242835,0.037020
15,3500,72.750683,-68.477452,-4.273231,7.560441,-5.930296,-0.296057
16,3750,75.434764,-64.777300,-10.657464,7.839378,-5.609855,-0.738368
17,4000,77.653765,-60.677775,-16.975990,8.069982,-5.254827,-1.176126
18,4250,79.394004,-56.204151,-23.189853,8.250832,-4.867402,-1.606633
19,4500,80.644753,-51.384010,-29.260743,8.380813,-4.449967,-2.027235
20,4750,81.398300,-46.247069,-35.151231,8.459124,-4.005097,-2.435339
21,5000,81.650000,-40.825000,-40.825000,8.485281,-3.535534,-2.828427
22,5250,81.398300,-35.151231,-46.247069,8.459124,-3.044173,-3.204078
23,5500,80.644753,-29.260743,-51.384010,8.380813,-2.534044,-3.559974
24,5750,79.394004,-23.189853,-56.204151,8.250832,-2.008292,-3.893922
25,6000,77.653765,-16.975990,-60.677775,8.069982,-1.470158,-4.203862
26,6250,75.434764,-10.657464,-64.777300,7.839378,-0.922960,-4.487884
27,6500,72.750683,-4.273231,-68.477452,7.560441,-0.370071,-4.744237
28,6750,69.618069,2.137348,-71.755417,7.234892,0.185099,-4.971340
29,7000,66.056238,8.534749,-74.590987,6.864737,0.739128,-5.167794
30,7250,62.087147,14.879531,-76.966678,6.452259,1.288600,-5.332386
31,7500,57.735269,21.132575,-78.867844,6.000000,1.830127,-5.464102
32,7750,53.027433,27.255330,-80.282763,5.510749,2.360371,-5.562130
33,8000,47.992666,33.210047,-81.202713,4.987523,2.876062,-5.625865
34,8250,42.662008,38.960013,-81.622021,4.433547,3.374022,-5.654916
35,8500,37.068324,44.469777,-81.538102,3.852237,3.851180,-5.649102
36,8750,31.246102,49.705371,-80.951473,3.247177,4.304593,-5.608459
37,9000,25.231238,54.634514,-79.865752,2.622096,4.731468,-5.533238
38,9250,19.060814,59.226817,-78.287631,1.980850,5.129171,-5.423903
39,9500,12.772874,63.453968,-76.226842,1.327390,5.495252,-5.281128
40,9750,6.406185,67.289903,-73.696088,0.665748,5.827452,-5.105793
